Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit
2021.06.08 16:59:03,41566725,BTCUSD,buy,5,32549.55,31000,44000,2021.06.09 15:26:09,35154.7,0,-93.32,13025.75
2021.06.08 16:59:57,41566764,ETHUSD,buy,5,2439.85,2305.74,2750,2021.06.09 15:26:15,2555.45,0,-70.38,5780
2021.06.08 17:00:25,41566822,IOTUSD,buy,70,1.1341,0.8,2,2021.06.15 21:43:11,1.1335,0,-271.15,-40.5
2021.06.09 16:03:05,41597784,BTCUSD,buy,10,34875.7,31000,44000,2021.06.10 15:09:44,37703.7,0,-201.99,28280
2021.06.10 15:10:20,41636832,ETHUSD,buy,25,2559.03,1998.58,3556.68,2021.06.15 15:31:25,2584.74,0,-1687.19,6428
2021.06.11 16:02:36,41686753,XLMUSD,buy,20,0.33833,0.3,0.4,2021.06.15 15:31:46,0.33893,0,-72.16,120.5
2021.06.14 02:21:10,41704116,LNKUSD,buy,15,23.333,17.174,32.579,2021.06.15 15:30:53,25.813,0,-20.1,3720
2021.06.15 01:40:28,41738082,BTCUSD,buy,5,40284.22,39000,42000,2021.06.16 03:48:13,40003.6,0,-110.85,-1403.1
2021.06.16 01:34:21,41779302,LTCUSD,buy,5,175.11,150,225,2021.06.16 03:48:07,175.47,0,0,180
